Time,Loadshape,Solar,Price
1,0.855,0,0.22
2,0.837,0,0.22
3,0.819,0,0.22
4,0.828,0,0.22
5,0.9,0,0.22
6,0.846,0,0.22
7,0.81,0,0.22
8,0.837,0,0.22
9,0.783,0,0.22
10,0.756,0,0.22
11,0.738,0,0.22
12,0.747,0,0.22
13,0.729,0,0.22
14,0.747,0,0.22
15,0.756,0,0.22
16,0.729,0,0.22
17,0.709,0,0.22
18,0.688,0,0.22
19,0.677,0,0.22
20,0.661,0,0.22
21,0.651,0,0.22
22,0.645,0,0.22
23,0.612,0,0.22
24,0.5904,0,0.22
25,0.576,0,0.22
26,0.5616,0,0.22
27,0.5472,0,0.22
28,0.576,0,0.22
29,0.5472,0,0.22
30,0.5616,0,0.22
31,0.54,0,0.28
32,0.5472,0.025289,0.28
33,0.5328,0.063888,0.28
34,0.5328,0.103818,0.28
35,0.5256,0.150403,0.28
36,0.5256,0.198319,0.28
37,0.5256,0.246235,0.28
38,0.5184,0.299475,0.28
39,0.4968,0.350053,0.28
40,0.5112,0.400631,0.28
41,0.504,0.45254,0.28
42,0.504,0.499125,0.28
43,0.504,0.548372,0.28
44,0.4968,0.593626,0.28
45,0.4824,0.636218,0.28
46,0.468,0.676148,0.28
47,0.463,0.716078,0.28
48,0.452,0.752015,0.28
49,0.432,0.786621,0.28
50,0.4159,0.814572,0.28
51,0.392,0.842523,0.28
52,0.38,0.86515,0.28
53,0.37,0.889108,0.28
54,0.366,0.907742,0.28
55,0.353,0.923714,0.28
56,0.362,0.933031,0.28
57,0.377,0.943679,0.28
58,0.375,0.950334,0.28
59,0.384,0.951665,0.28
60,0.412,0.946341,0.28
61,0.43,0.942348,0.28
62,0.46,0.933031,0.28
63,0.47,0.921052,0.28
64,0.495,0.906411,0.28
65,0.525,0.889108,0.28
66,0.542,0.86515,0.28
67,0.57,0.83853,0.52
68,0.59,0.806586,0.52
69,0.61,0.777304,0.52
70,0.63,0.742698,0.52
71,0.66,0.706761,0.52
72,0.68,0.669493,0.52
73,0.692,0.629563,0.52
74,0.717,0.584309,0.52
75,0.738,0.537724,0.52
76,0.747,0.489808,0.52
77,0.783,0.440561,0.52
78,0.819,0.389983,0.52
79,0.819,0.336743,0.52
80,0.792,0.282172,0.52
81,0.81,0.236918,0.52
82,0.801,0.182347,0.52
83,0.819,0.134431,0.28
84,0.837,0.005324,0.28
85,0.81,0,0.28
86,0.846,0,0.28
87,0.837,0,0.28
88,0.873,0,0.28
89,0.828,0,0.28
90,0.864,0,0.28
91,0.828,0,0.28
92,0.837,0,0.28
93,0.855,0,0.28
94,0.846,0,0.28
95,0.855,0,0.28
96,0.873,0,0.28
